READ SERR 1 2
@crab_ratio_SA80_d49.pco
!
0.894999981 4.99999523E-3 0.984429896 6.4836879E-4
0.904999971 5.00002503E-3 0.983617008 6.47833105E-4
0.915000021 4.99999523E-3 0.98203069 6.46679197E-4
0.925000012 4.99999523E-3 0.982236922 6.45843451E-4
0.935000002 4.99999523E-3 0.982589602 6.44794316E-4
0.944999993 4.99999523E-3 0.983708441 6.43912645E-4
0.954999983 4.99999523E-3 0.986104727 6.43403851E-4
0.965000033 5.00002503E-3 0.98689431 6.42428E-4
0.975000024 4.99999523E-3 0.988265932 6.41751045E-4
0.985000014 4.99999523E-3 0.988874793 6.40978862E-4
0.995000005 4.99999523E-3 0.989480734 6.40317448E-4
1.005 4.99999523E-3 0.990213156 6.39896956E-4
1.01499999 4.99999523E-3 0.992851794 6.40212675E-4
1.02499998 4.99999523E-3 0.991779983 6.39492529E-4
1.03499997 4.99999523E-3 0.994022846 6.39992999E-4
1.04499996 4.99999523E-3 0.992325783 6.3932396E-4
1.05499995 4.99999523E-3 0.990995824 6.38949976E-4
1.06500006 5.00005484E-3 0.991636634 6.3932006E-4
1.07500005 4.99999523E-3 0.991786897 6.39654521E-4
1.08500004 4.99999523E-3 0.990917802 6.39763253E-4
1.09500003 4.99999523E-3 0.991114497 6.40360988E-4
1.10500002 4.99999523E-3 0.991382837 6.41072984E-4
1.11500001 4.99999523E-3 0.991822422 6.41985913E-4
1.125 4.99999523E-3 0.99145329 6.42738654E-4
1.13499999 4.99999523E-3 0.991300523 6.43662293E-4
1.14499998 4.99999523E-3 0.991393089 6.44755899E-4
1.15499997 4.99999523E-3 0.992434084 6.46292465E-4
1.16499996 4.99999523E-3 0.991401076 6.47253008E-4
1.17499995 4.99999523E-3 0.99210763 6.48877758E-4
1.18499994 5.00005484E-3 0.99275279 6.50596514E-4
1.19500005 4.99999523E-3 0.992473781 6.5206486E-4
1.20500004 4.99999523E-3 0.992690384 6.53823838E-4
1.21500003 4.99999523E-3 0.993495941 6.55882293E-4
1.22500002 4.99999523E-3 0.993323267 6.57706987E-4
1.23500001 4.99999523E-3 0.994780898 6.6014647E-4
1.245 4.99999523E-3 0.993782997 6.61905564E-4
1.255 4.99999523E-3 0.994874835 6.64488762E-4
1.26499999 4.99999523E-3 0.99341011 6.66347856E-4
1.27499998 4.99999523E-3 0.993766963 6.68922847E-4
1.28499997 4.99999523E-3 0.99362427 6.71479094E-4
1.29499996 4.99999523E-3 0.992602766 6.73872943E-4
1.30499995 4.99999523E-3 0.990015566 6.75768824E-4
